"salinity","cum.catch","cum"
31.56,1.6077869437526,1.98392707718274
31.57,1.6077869437526,2.00072363075823
31.58,1.6077869437526,2.09328271817915
31.59,1.6077869437526,2.10152577405531
31.6,1.69048929650432,2.13721673356237
31.61,1.74120467335228,2.14876992798163
31.62,1.74120467335228,2.20054689786074
31.63,1.80503701154207,2.25716174723724
31.64,1.80503701154207,2.34195537269364
31.65,1.80503701154207,2.514786678228
31.66,1.80503701154207,2.59730684247575
31.67,1.80503701154207,2.71283383384266
31.68,1.80503701154207,2.78259810724758
31.69,1.86005390202844,2.90575892917643
31.7,1.94502207266376,2.94340937638368
31.71,2.03381381097768,2.98910023443967
31.72,2.03381381097768,3.03780632286796
31.73,2.06503961368616,3.1699047893957
31.74,2.27607930750165,3.35603852011623
31.75,2.27607930750165,3.43633580295008
