"temperature","cum.catch","cum"
5.9,56.5987504969374,50.4530925632525
6,57.642450587033,51.5693165337208
6.1,58.1272074734064,52.22216780329
6.2,59.0803147091421,53.4268506089522
6.3,59.9226637882874,54.3233230739311
6.4,60.9045274649574,55.4238099965189
6.5,61.5897436223402,56.7611041474341
6.6,62.3047204571775,57.6679533376393
6.7,63.3144041286055,59.0000570271045
6.8,64.0736821720674,59.9747615782204
6.9,65.0515429941313,61.0758945354371
7,66.2004887709227,62.1716334619853
7.1,67.2601582474756,63.5975248173192
7.2,67.9420941961135,64.6533160903356
7.3,69.1052792888478,65.8424272018462
7.4,70.3255905042138,66.9083354785502
7.5,71.3424960565157,68.2309416978284
7.6,72.9730515838184,69.6760995610397
7.7,74.0932023436297,71.1012890079258
7.8,74.9061777433959,72.2303410750659
7.9,75.8714786428319,73.3781470584445
8,76.4544772317854,74.4642877507154
8.1,77.2988209711413,75.7748544645344
8.2,78.3425513177395,76.9372351746714
8.3,79.5506851104271,77.9699446122383
8.4,80.4384732250835,78.976526018005
8.5,81.3598761947988,80.1871724175557
8.6,82.2390335199322,81.1112350725538
8.7,82.7741974032263,81.7972475135249
8.8,83.7752834040779,82.8014622948554
8.9,84.8894261039882,83.763182014407
9,85.8296885225037,84.8862029708523
9.1,86.9963721224242,85.8617673874417
9.2,87.7945828808408,86.6895968174898
9.3,88.920457327063,87.8765234556278
9.4,89.6638829389666,88.8645738479794
9.5,90.3390236520066,90.1259952118646
9.6,90.9207323933318,90.7626179666293
9.7,91.7108397177598,91.6767025382389
9.8,92.6111399873326,92.5127282537253
9.9,93.1416828222216,93.315048966609
10,93.9186171830673,94.166519698027
10.1,94.388066309212,94.5773964888624
10.2,94.839496976923,95.0617532452738
10.3,95.283971949332,95.5133396070996
10.4,95.5423009270145,95.8510480243653
10.5,95.9899538852659,96.3842175287568
10.6,96.2997547215764,96.8325220092812
10.7,96.578455433997,97.19688171816
10.8,96.9824845297721,97.5108831749915
10.9,97.452562517838,97.9529221762602
11,97.9192967661029,98.257142318465
11.1,98.1208239639144,98.4188012760124
11.2,98.3344621872855,98.6366520414767
11.3,98.6094680672259,98.8270382992244
11.4,98.7571142418827,98.9306849489568
11.5,98.9519088196047,99.101941810943
11.6,99.0919112050762,99.1918977364003
11.7,99.1461227807941,99.2843754968396
11.8,99.3947565849234,99.4224169751274
11.9,99.3947565849234,99.4394645602521
12,99.4478217355666,99.502089238872
12.1,99.5062435573712,99.576107570077
12.2,99.5508502405105,99.5951064006946
12.3,99.6393657205249,99.6474644984173
12.4,99.6393657205249,99.663251334942
12.5,99.7217554692237,99.7054492570194
12.6,99.7484385128364,99.7334536238857
12.7,99.7939802489272,99.7714268709139
12.8,99.821215009607,99.8033718433596
12.9,99.821215009607,99.823837052278
13,99.821215009607,99.8317533588593
13.1,99.8853431622207,99.891531951312
13.2,99.8853431622207,99.8994482578933
13.3,99.8853431622207,99.9034460842701
13.4,99.8853431622207,99.9034460842701
13.5,99.8853431622207,99.9159573480382
13.6,99.8853431622207,99.9400826534716
13.7,99.9421198640432,99.9642649253876
13.8,99.9421198640432,99.9642649253876
13.9,100,99.9889171707862
14,100,99.9889171707862
14.1,100,99.9889171707862
14.2,100,99.9889171707862
14.3,100,100
14.4,100,100
14.5,100,100
14.6,100,100
14.7,100,100
14.8,100,100
14.9,100,100
15,100,100
15.1,100,100
15.2,100,100
15.3,100,100
15.4,100,100
15.5,100,100
15.6,100,100
15.7,100,100
15.8,100,100
15.9,100,100
16,100,100
16.1,100,100
16.2,100,100
16.3,100,100
16.4,100,100
16.5,100,100
16.6,100,100
16.7,100,100
16.8,100,100
16.9,100,100
17,100,100
17.1,100,100
17.2,100,100
17.3,100,100
17.4,100,100
17.5,100,100
17.6,100,100
17.7,100,100
17.8,100,100
17.9,100,100
18,100,100
18.1,100,100
18.2,100,100
18.3,100,100
18.4,100,100
18.5,100,100
18.6,100,100
18.7,100,100
18.8,100,100
18.9,100,100
19,100,100
19.1,100,100
19.2,100,100
19.3,100,100
19.4,100,100
19.5,100,100
19.6,100,100
19.7,100,100
19.8,100,100
19.9,100,100
20,100,100
20.1,100,100
20.2,100,100
20.3,100,100
20.4,100,100
20.5,100,100
20.6,100,100
20.7,100,100
20.8,100,100
20.9,100,100
21,100,100
21.1,100,100
21.2,100,100
21.3,100,100
21.4,100,100
21.5,100,100
21.6,100,100
21.7,100,100
21.8,100,100
21.9,100,100
22,100,100
22.1,100,100
22.2,100,100
22.3,100,100
22.4,100,100
22.5,100,100
22.6,100,100
22.7,100,100
22.8,100,100
22.9,100,100
23,100,100
23.1,100,100
23.2,100,100
23.3,100,100
23.4,100,100
23.5,100,100
23.6,100,100
23.7,100,100
23.8,100,100
23.9,100,100
24,100,100
24.1,100,100
24.2,100,100
24.3,100,100
24.4,100,100
24.5,100,100
24.6,100,100
24.7,100,100
24.8,100,100
24.9,100,100
25,100,100
