ACCEPTED_SCIENT_NAME,FAO_E_COMMON_NAME,FAO_F_COMMON_NAME,spec,nrecords,CLASS_,ORDER_,FAMILY_,type
Anarhichas lupus,Atlantic wolffish,Loup atlantique,50,1572,Actinopterygii,Perciformes,Anarhichadidae,L
Chionoecetes opilio,Queen crab,Crabe des neiges,2526,1546,Malacostraca,Decapoda,Oregoniidae,S
Zoarces americanus,Ocean pout,Loquette d'Amérique,640,1478,Actinopterygii,Perciformes,Zoarcidae,L
Cancer borealis,Jonah crab,Tourteau jona,2511,1387,Malacostraca,Decapoda,Cancridae,S
Ammodytes dubius,Sand lance,Lançon,610,1283,Actinopterygii,Perciformes,Ammodytidae,I
Triglops murrayi,Moustache sculpin,Faux-trigle armé,304,1182,Actinopterygii,Scorpaeniformes,Cottidae,L
Leucoraja ocellata,Winter skate,Raie tachetée,204,1180,Chondrichthyes,Rajiformes,Rajidae,L
Aspidophoroides monopterygius,Alligatorfish,Poisson-alligator atlantique,340,1029,Actinopterygii,Scorpaeniformes,Agonidae,L
Alosa pseudoharengus,Alewife,Gaspareau,62,977,Actinopterygii,Clupeiformes,Clupeidae,I
Argentina silus,Greater argentine,Grande argentine,160,963,Actinopterygii,Osmeriformes,Argentinidae,I
Myxine glutinosa,Atlantic hagfish,Myxine du nord,241,804,Myxini,Myxiniformes,Myxinidae,I
Cancer irroratus,Atlantic rock crab,Tourteau poïnclos,2513,788,Malacostraca,Decapoda,Cancridae,S
Phycis chesteri,Longfin hake,Merluche à longues nageoires,112,784,Actinopterygii,Gadiformes,Gadidae,I
Reinhardtius hippoglossoides,Greenland halibut,Flétan noir,31,736,Actinopterygii,Pleuronectiformes,Pleuronectidae,I
Pandalus borealis,Northern prawn,Crevette nordique,2211,718,Malacostraca,Decapoda,Pandalidae,S
Leucoraja erinacea,Little skate,Raie hérisson,203,712,Chondrichthyes,Rajiformes,Rajidae,I
Hyas coarctatus,Arctic lyre crab,Crabe Hyas coarctatus,2521,711,Malacostraca,Decapoda,Oregoniidae,S
Scomber scombrus,Atlantic mackerel,Maquereau commun,70,696,Actinopterygii,Perciformes,Scombridae,I
Enchelyopus cimbrius,Fourbeard rockling,Motelle à quatre barbillons,114,693,Actinopterygii,Gadiformes,Gadidae,I
Brosme brosme,Cusk,Brosme,15,688,Actinopterygii,Gadiformes,Gadidae,I
Hyas araneus,Great spider crab,Crabe lyre araignée,2527,625,Malacostraca,Decapoda,Oregoniidae,S
Helicolenus dactylopterus,Blackbelly rosefish,Sébaste chèvre,123,610,Actinopterygii,Scorpaeniformes,Scorpaenidae,I
Lycodes vahlii,Vahl's eelpout,Lycode à carreaux,647,565,Actinopterygii,Perciformes,Zoarcidae,I
Mallotus villosus,Capelin,Capelan,64,540,Actinopterygii,Osmeriformes,Osmeridae,I
Lithodes maja,Atlantic king crab,Crabe épineux du nord,2523,531,Malacostraca,Decapoda,Lithodidae,S
Nezumia bairdii,Marlin-spike grenadier,Grenadier du Grand Banc,410,529,Actinopterygii,Gadiformes,Macrouridae,I
Peprilus triacanthus,Atlantic butterfish,Stromaté fossette,701,487,Actinopterygii,Perciformes,Stromateidae,I
