"scientificname","englishname","frenchname","speciesnumber","numberofrecords","category","ordername","familyname"
"Phycis chesteri","Longfin hake","Merluche à longues nagerois",112,"Merluche à longues nageoires","Gadiformes",706,"Actinopterygii"
"Placopecten magellanicus","American sea scallop","Pecten d'Amérique",NA,NA,NA,NA,NA
"Pollachius virens","Saithe(=Pollock)","Lieu noir",16,"Goberge","Gadiformes",2301,"Actinopterygii"
"Pseudopleuronectes americanus","Winter flounder","Limande-plie rouge",43,"Limande-plie rouge","Pleuronectiformes",1294,"Actinopterygii"
"Reinhardtius hippoglossoides","Greenland halibut","Flétan noir",31,"Flétan noir","Pleuronectiformes",594,"Actinopterygii"
"Scomber scombrus","Atlantic mackerel","Maquereau commun",70,"Maquereau commun","Perciformes",493,"Actinopterygii"
"Scomberesox saurus","Atlantic saury","Balaou atlantique",720,"Balaou atlantique","Beloniformes",26,"Actinopterygii"
"Scophthalmus aquosus","Windowpane flounder","Turbot de sable",143,"Turbot de sable","Pleuronectiformes",75,"Actinopterygii"
"Sebastes","Atlantic redfishes nei","Sébastes de l'Atlantique nca",23,"Sébastes de l'Atlantique nca","Scorpaeniformes",3324,"Actinopterygii"
"Squalus acanthias","Picked dogfish","Aiguillat commun",220,"Aiguillat commun","Squaliformes",1587,"Chondrichthyes"
"Sternoptychidae","Hatchetfishes nei","Haches d'argent nca",741,"Haches d'argent","Stomiiformes",14,"Actinopterygii"
"Stomias boa","Boa dragonfish",NA,159,NA,"Stomiiformes",14,"Actinopterygii"
"Symphurus diomedeanus",NA,NA,816,NA,"Pleuronectiformes",13,"Actinopterygii"
"Tautogolabrus adspersus","Cunner","Tanche-tautogue",122,"Tanche-tautogue","Perciformes",48,"Actinopterygii"
"Trachyrincus murrayi",NA,NA,412,NA,"Gadiformes",18,"Actinopterygii"
"Triglops murrayi","Moustache sculpin",NA,304,"Faux-trigle armé","Scorpaeniformes",1055,"Actinopterygii"
"Ulcina olrikii","Arctic alligatorfish",NA,341,NA,"Scorpaeniformes",11,"Actinopterygii"
"Ulvaria subbifurcata","Radiated shanny",NA,625,NA,"Perciformes",119,"Actinopterygii"
"Urophycis chuss","Red hake","Merluche écureuil",13,"Merluche écureuil","Gadiformes",1566,"Actinopterygii"
"Urophycis tenuis","White hake","Merluche blanche",12,"Merluche blanche","Gadiformes",2955,"Actinopterygii"
"Zenopsis conchifera",NA,NA,704,NA,"Zeiformes",22,"Actinopterygii"
"Zoarces americanus","Ocean pout","Loquette d'Amérique",640,"Loquette d'Amérique","Perciformes",1327,"Actinopterygii"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
