520,"CAREPROCTUS REINHARDI","Sea tadpole","Petite limace de mer","LR","Scorpaeniformes","Liparidae"
604,"NEMICHTHYS SCOLOPACEUS","Slender snipe eel",NA,"LR","Anguilliformes","Nemichthyidae"
52,"ANARHICHAS DENTICULATUS","Northern wolffish","Loup g\'{e}latineux","LR","Perciformes","Anarhichadidae"
414,"CORYPHAENOIDES RUPESTRIS","Roundnose grenadier","Grenadier de roche","LR","Gadiformes","Macrouridae"
4512,"LOLIGO PEALEI",NA,NA,"LR","Teuthida","Loliginidae"
159,"STOMIAS BOA FEROX","Boa dragonfish",NA,"LR","Stomiiformes","Stomiidae"
240,"PETROMYZON MARINUS","Sea lamprey","Lamproie marine","LR","Petromyzontiformes","Petromyzontidae"
741,"STERNOPTYCHIDAE F.","Hatchetfishes nei","Haches d'argent nca","LR","Stomiiformes","Sternoptychidae"
816,"SYMPHURUS PTEROSPILOTUS",NA,NA,"LR","Pleuronectiformes","Cynoglossidae"
637,"CALLIONYMUS AGASSIZI",NA,NA,"LR","Perciformes","Callionymidae"
742,"DIBRANCHUS ATLANTICUS",NA,NA,"LR","Lophiiformes","Ogcocephalidae"
341,"ASPIDOPHOROIDES OLRIKI","Arctic alligatorfish",NA,"LR","Scorpaeniformes","Agonidae"
