"Agonidae","Alligatorfishes","Poissons-alligator",351,32,"Actinopterygii","Scorpaeniformes","Agonidae","LR","Actinopterygii"
"Ulcina olrikii","Arctic alligatorfish","Poisson-alligator arctique",341,11,"Actinopterygii","Scorpaeniformes","Agonidae","LR","Actinopterygii"
"Myoxocephalus octodecemspinosus","Longhorn sculpin","Chaboisseau à dix-huit épines",300,2761,"Actinopterygii","Scorpaeniformes","Cottidae","L","Actinopterygii"
"Triglops murrayi","Moustache sculpin","Faux-trigle armé",304,1055,"Actinopterygii","Scorpaeniformes","Cottidae","L","Actinopterygii"
"Artediellus uncinatus","Arctic hookear sculpin","Hameçon neigeux",306,301,"Actinopterygii","Scorpaeniformes","Cottidae","I","Actinopterygii"
"Artediellus atlanticus","Atlantic hookear sculpin","Hameçon atlantique",880,209,"Actinopterygii","Scorpaeniformes","Cottidae","I","Actinopterygii"
"Myoxocephalus scorpius","Shorthorn sculpin","Chaboisseau à épines courtes",301,79,"Actinopterygii","Scorpaeniformes","Cottidae","LR","Actinopterygii"
"Icelus spatula","Spatulate sculpin","Icèle spatulée",314,36,"Actinopterygii","Scorpaeniformes","Cottidae","LR","Actinopterygii"
"Myoxocephalus aenaeus","Grubby","Chaboisseau bronzé",303,20,"Actinopterygii","Scorpaeniformes","Cottidae","LR","Actinopterygii"
"Cyclopterus lumpus","Lumpfish","Lompe",501,197,"Actinopterygii","Scorpaeniformes","Cyclopteridae","LR","Actinopterygii"
"Eumicrotremus spinosus","Atlantic spiny lumpsucker","Petite poule de mer atlantique",502,183,"Actinopterygii","Scorpaeniformes","Cyclopteridae","LR","Actinopterygii"
"Hemitripterus americanus","Sea raven","Hémitriptère atlantique",320,1800,"Actinopterygii","Scorpaeniformes","Hemitripteridae","L","Actinopterygii"
"Liparis atlanticus","Atlantic seasnail","Limace atlantique",503,30,"Actinopterygii","Scorpaeniformes","Liparidae","LR","Actinopterygii"
"Liparis gibbus","Variegated snailfish","Limace marbée",512,26,"Actinopterygii","Scorpaeniformes","Liparidae","LR","Actinopterygii"
"Liparis fabricii","Gelatinous snailfish","Limace gélatineuse",505,25,"Actinopterygii","Scorpaeniformes","Liparidae","LR","Actinopterygii"
"Careproctus reinhardti","Sea tadpole","Petite limace de mer",520,17,"Actinopterygii","Scorpaeniformes","Liparidae","LR","Actinopterygii"
"Cottunculus microps","Polar sculpin","Cotte polaire",307,28,"Actinopterygii","Scorpaeniformes","Psychrolutidae","LR","Actinopterygii"
"Sebastes","Atlantic redfishes","Sébastes de l'Atlantique",23,3324,"Actinopterygii","Scorpaeniformes","Scorpaenidae","L","Actinopterygii"
"Helicolenus dactylopterus","Blackbelly rosefish","Sébaste chèvre",123,436,"Actinopterygii","Scorpaeniformes","Scorpaenidae","I","Actinopterygii"
"Maurolicus muelleri","Silvery lightfish","Brossé améthyste",158,26,"Actinopterygii","Stomiiformes","Sternoptychidae","LR","Actinopterygii"
"Sternoptychidae","Hatchetfishes","Haches d'argent",741,14,"Actinopterygii","Stomiiformes","Sternoptychidae","LR","Actinopterygii"
"Stomias boa","Boa dragonfish","Dragon-boa",159,14,"Actinopterygii","Stomiiformes","Stomiidae","LR","Actinopterygii"
"Zenopsis conchifer","Silvery John dory","Saint Pierre argenté",704,22,"Actinopterygii","Zeiformes","Zeidae","LR","Actinopterygii"
"Amblyraja radiata","Thorny skate","Raie épineuse",201,3644,"Chondrichthyes","Rajiformes","Rajidae","L","Chondrichthyes"
"Malacoraja senta","Smooth skate","Raie lisse",202,1554,"Chondrichthyes","Rajiformes","Rajidae","L","Chondrichthyes"
"Leucoraja ocellata","Winter skate","Raie tachetée",204,1055,"Chondrichthyes","Rajiformes","Rajidae","L","Chondrichthyes"
"Leucoraja erinacea","Little skate","Raie hérisson",203,552,"Chondrichthyes","Rajiformes","Rajidae","I","Chondrichthyes"
"Dipturus laevis","Barndoor skate","Grande raie",200,130,"Chondrichthyes","Rajiformes","Rajidae","LR","Chondrichthyes"
"Centroscyllium fabricii","Black dogfish","Aiguillat noir",221,27,"Chondrichthyes","Squaliformes","Etmopteridae","LR","Chondrichthyes"
"Squalus acanthias","Picked dogfish","Aiguillat commun",220,1587,"Chondrichthyes","Squaliformes","Squalidae","L","Chondrichthyes"
"Doryteuthis pealeii","Longfin inshore squid","Calmar totam",4512,15,"Cephalopoda","Teuthida","Loliginidae","LR","Cephalopoda"
"Illex illecebrosus","Northern shortfin squid","Encornet rouge nordique",4511,3916,"Cephalopoda","Teuthida","Ommastrephidae","L","Cephalopoda"
"Cancer borealis","Jonah crab","Tourteau jona",2511,776,"Malacostraca","Decapoda","Cancridae","S","Malacostraca"
"Cancer irroratus","Atlantic rock crab","Tourteau poïnclos",2513,426,"Malacostraca","Decapoda","Cancridae","S","Malacostraca"
"Chaceon quinquedens","Red deepsea crab","Crabe rouge",2532,21,"Malacostraca","Decapoda","Geryonidae","SR","Malacostraca"
"Lithodes maja","Atlantic king crab","Crabe épineux du nord",2523,369,"Malacostraca","Decapoda","Lithodidae","S","Malacostraca"
"Homarus americanus","American lobster","Homard américain",2550,986,"Malacostraca","Decapoda","Nephropidae","S","Malacostraca"
"Chionoecetes opilio","Queen crab","Crabe des neiges",2526,1143,"Malacostraca","Decapoda","Oregoniidae","S","Malacostraca"
"Hyas araneus","Great spider crab","Araignée nordique",2527,463,"Malacostraca","Decapoda","Oregoniidae","S","Malacostraca"
"Hyas coarctatus","Arctic lyre crab","Crabe Hyas coarctatus",2521,452,"Malacostraca","Decapoda","Oregoniidae","S","Malacostraca"
"Pandalus borealis","Northern prawn","Crevette nordique",2211,495,"Malacostraca","Decapoda","Pandalidae","S","Malacostraca"
