"Centroscyllium fabricii","Black dogfish","Aiguillat noir",221,27,"Chondrichthyes","Squaliformes","Etmopteridae","LR",105906
"Squalus acanthias","Picked dogfish","Aiguillat commun",220,1587,"Chondrichthyes","Squaliformes","Squalidae","L",105923
"Doryteuthis pealeii","Longfin inshore squid","Calmar totam",4512,15,"Cephalopoda","Teuthida","Loliginidae","LR",574541
"Illex illecebrosus","Northern shortfin squid","Encornet rouge nordique",4511,3916,"Cephalopoda","Teuthida","Ommastrephidae","L",153087
"Cancer borealis","Jonah crab","Tourteau jona",2511,776,"Malacostraca","Decapoda","Cancridae","S",158056
"Cancer irroratus","Atlantic rock crab","Crabe commun",2513,426,"Malacostraca","Decapoda","Cancridae","S",158057
"Chaceon quinquedens","Red deepsea crab","Crabe rouge",2532,21,"Malacostraca","Decapoda","Geryonidae","SR",158407
"Lithodes maja","Atlantic king crab","Crabe épineux du nord",2523,369,"Malacostraca","Decapoda","Lithodidae","S",107205
"Homarus americanus","American lobster","Homard américain",2550,986,"Malacostraca","Decapoda","Nephropidae","S",156134
"Chionoecetes opilio","Queen crab","Crabe des neiges",2526,1143,"Malacostraca","Decapoda","Oregoniidae","S",107315
"Hyas araneus","Great spider crab","Crabe lyre araignée",2527,463,"Malacostraca","Decapoda","Oregoniidae","S",107322
"Hyas coarctatus","Arctic lyre crab","Crabe lyre arctique",2521,452,"Malacostraca","Decapoda","Oregoniidae","S",107323
"Pandalus borealis","Northern prawn","Crevette nordique",2211,495,"Malacostraca","Decapoda","Pandalidae","S",107649
